"Name","Runtime","n_hidden_layers","n_hidden_state_variables","n_hidden_time_steps","n_input_time_steps","n_output_time_steps","model","epochs","training_time","n_trainable_parameters","RMSE","NRMSE","R2"
"feasible-sweep-1","14457","5","1","4","256","1","FMLP","714","14434.342360398963","1591","0.0005344523233361542","0.0022342551965266466","0.9999950081053351"
"vivid-sweep-4","14448","5","4","4","256","1","FMLP","669","14430.656513375929","7855","0.0005414565675891936","0.0022635359782725573","0.9999948764047066"
"different-sweep-6","2343","5","4","128","256","1","FMLP","101","2323.7142111319117","1818999","0.0005426944699138403","0.002268711104989052","0.9999948529503084"
"blooming-sweep-8","2359","5","8","64","256","1","FMLP","101","2330.678497608053","1830027","0.0005434381891973317","0.002271820092573762","0.9999948388342474"
"resilient-sweep-2","3620","5","1","64","256","1","FMLP","177","3597.495646902127","47281","0.0005444158450700343","0.002275907201692462","0.999994820246718"
"autumn-sweep-11","3300","8","1","64","256","1","FMLP","115","3273.0165122742765","63127","0.0005450501339510083","0.002278558909893036","0.9999948081704132"
"sunny-sweep-9","2385","5","8","128","256","1","FMLP","101","2341.021313164849","6935435","0.0005455956561490893","0.002280839253216982","0.9999947977719948"
"wise-sweep-12","2917","8","1","128","256","1","FMLP","101","2895.3488455330953","208023","0.0005461042164824903","0.002282965462654829","0.9999947880697008"
"light-sweep-10","14470","8","1","4","256","1","FMLP","509","14450.871640462894","1687","0.0005464631831273437","0.002284466056153178","0.999994781215832"
"wandering-sweep-8","2845","5","8","64","128","1","MLP","347","2820.7011432289146","1379841","0.000904019980225712","0.00377962994389236","0.9999857143955616"
"robust-sweep-2","14438","5","1","64","256","1","MLP","1983","14410.56445564516","37313","0.0009326492436230184","0.0038989002350717783","0.9999847985778773"
"avid-sweep-15","3255","8","4","128","256","1","FMLP","101","3223.818471523933","2810547","0.0010173761984333396","0.00425309780985117","0.9999819111630142"
"cosmic-sweep-3","11944","5","1","128","64","1","MLP","1635","11923.38415020192","91009","0.0010576187632977962","0.004423124715685844","0.999980435966228"
"icy-sweep-10","14436","8","1","4","256","1","MLP","1105","14416.413073832868","1193","0.001092718681320548","0.0045680636540055275","0.9999791327949568"
"breezy-sweep-7","14443","5","8","4","128","1","MLP","1608","14417.239445893094","9441","0.0010976046323776243","0.004588990472257137","0.9999789411621754"
"polar-sweep-9","14454","5","8","128","256","1","MLP","1304","14420.135185247986","5512193","0.0011149842757731676","0.004661144223064184","0.9999782737368929"
"solar-sweep-1","7677","5","1","64","256","1","MLP","873","7654.919033122947","37313","0.0011230409145355225","0.004694824572652578","0.9999779586212116"
"MLP","7222","","","","","","","7766","7202.5710114489775","7393","0.00113553530536592","0.004748983774334192","0.999977447153011"
"cerulean-sweep-2","10050","5","1","64","64","1","MLP","1378","10031.02703425195","25025","0.0011415628250688314","0.004774191882461309","0.9999772070922692"
"FMLP","13785","","","","","","","7766","13765.249037358037","11259","0.0011743416544049978","0.004911277908831835","0.9999758793508056"
"FMLP","7228","","","","","","","3924","7203.39873406291","11259","0.0012051345547661183","0.005040058866143227","0.999974597808981"
"absurd-sweep-9","1346","5","8","128","128","1","MLP","169","1311.9075746629387","5381121","0.0012229530839249492","0.005113061983138323","0.9999738565981596"
"desert-sweep-6","2951","5","4","128","128","1","MLP","311","2924.5245756211225","1379841","0.001249161665327847","0.005222637671977282","0.9999727240548812"
"stellar-sweep-5","4934","5","4","64","64","1","MLP","635","4910.6542840611655","345857","0.001264611491933465","0.005288800224661827","0.999972028589056"
"summer-sweep-7","14431","5","8","4","64","1","MLP","1986","14410.779900571795","7393","0.0012715113116428256","0.005317656323313713","0.9999717225299006"
"skilled-sweep-5","4157","5","4","64","256","1","MLP","527","4133.378476220882","395009","0.0012851350475102663","0.005372452083975077","0.9999711367593428"
"misunderstood-sweep-9","4453","5","8","128","64","1","MLP","567","4424.435306959087","5315585","0.0013604715932160616","0.005689701996743679","0.9999676272915312"
"devoted-sweep-5","1163","5","4","64","128","1","MLP","123","1143.851218718104","362241","0.001456102472729981","0.006087839137762785","0.9999629382056237"
"copper-sweep-6","1110","5","4","128","64","1","MLP","140","1087.8164204889908","1347073","0.0015848483890295029","0.006628080736845732","0.9999560685467048"
"curious-sweep-8","937","5","8","64","64","1","MLP","115","914.9688182268292","1347073","0.0017016930505633354","0.0071167428977787495","0.9999493519736612"
"glamorous-sweep-16","14477","8","8","4","64","1","FMLP","509","14444.145352884196","16227","0.0017396373441442847","0.007275432348251343","0.999947068095502"
"exalted-sweep-16","14472","8","8","4","128","1","FMLP","472","14442.615635301918","19043","0.0018092043465003371","0.007564127910882235","0.9999427839677026"
"ancient-sweep-20","14450","5","1","64","128","1","FP","1144","14425.349636384752","7856","0.0018592855194583535","0.007773512974381447","0.9999395724859372"
"faithful-sweep-2","2316","5","1","64","256","1","FMLP","111","2296.5969885170925","47281","0.001957945292815566","0.008185106329619884","0.9999330040273255"
"comfy-sweep-2","748","5","1","64","512","1","FMLP","397","725.6903072437271","67889","0.0020142693538218737","0.008417057804763317","0.9999291531449136"
"faithful-sweep-7","9279","5","8","4","64","1","FMLP","454","9250.350055505056","11259","0.0020815099123865366","0.008705195970833302","0.9999242195698052"
"cerulean-sweep-20","14440","5","1","64","64","1","FP","1121","14421.75430426281","6800","0.0020923817064613104","0.00875066313892603","0.9999234258968648"
"vital-sweep-4","14430","5","4","4","64","1","MLP","1994","14409.547672673129","2417","0.002120241057127714","0.008867175318300724","0.999921373217694"
"rose-sweep-4","14432","5","4","4","128","1","MLP","1620","14412.860258667964","3441","0.002126875799149275","0.008892284706234932","0.9999209272590016"
"smooth-sweep-3","1220","5","1","128","256","1","MLP","160","1191.7442176910115","115585","0.002190762665122747","0.009158389642834663","0.9999161239101396"
"chocolate-sweep-7","7681","5","8","4","128","1","FMLP","357","7657.42015796015","14075","0.002268353709951043","0.009483791887760162","0.9999100576826472"
"legendary-sweep-4","28829","5","4","4","512","1","FMLP","15467","28802.574711155612","13487","0.002323360415175557","0.009708660654723644","0.999905741895402"
"vague-sweep-4","14432","5","4","4","256","1","MLP","1972","14409.303512411192","5489","0.0026002684608101845","0.010870311409235","0.9998818363322478"
"bright-sweep-4","14453","5","4","4","64","1","FMLP","715","14432.1283254046","3631","0.002606295282021165","0.010899929329752922","0.9998811915208916"
"honest-sweep-16","12537","8","8","4","256","1","FMLP","416","12512.864584645722","24675","0.002624708693474531","0.010972482152283192","0.9998796046462388"
"sandy-sweep-2","8202","5","1","64","64","1","FMLP","428","8167.711034295149","31825","0.002718481468036771","0.01136910915374756","0.999870743390372"
"fast-sweep-3","821","5","1","128","512","1","FMLP","437","804.1550888237543","186705","0.0028509804978966713","0.011913435533642769","0.9998580700699036"
"firm-sweep-11","6559","8","1","64","64","1","FMLP","240","6536.94135773927","47671","0.002900440013036132","0.012130088172852991","0.9998528609785792"
"golden-sweep-13","14490","8","4","4","128","1","FMLP","477","14448.459334075917","6323","0.002984188962727785","0.012476637959480286","0.9998443334808272"
"smooth-sweep-3","3283","5","1","128","64","1","FMLP","174","3262.3286917251535","114801","0.0030447891913354397","0.012733777984976768","0.9998378509016442"
"rich-sweep-4","14337","5","4","4","128","1","FMLP","652","14315.577477746176","5039","0.0030749805737286806","0.012856229208409786","0.9998347173301516"
"stilted-sweep-13","14469","8","4","4","64","1","FMLP","518","14445.318813524207","4915","0.0031017232686281204","0.01297188550233841","0.9998317301930564"
"floral-sweep-6","1537","5","4","128","256","1","MLP","200","1520.3946198290214","1445377","0.003107185708358884","0.01298945676535368","0.9998312740291834"
"sweet-sweep-20","14453","5","1","64","256","1","FP","1025","14426.187252899166","9968","0.0031413082033395767","0.013132104650139809","0.9998275478467996"
"fancy-sweep-13","14464","8","4","4","256","1","FMLP","478","14436.386421583127","9139","0.0031623942777514458","0.013220254331827164","0.999825224879981"
"frosty-sweep-12","4456","8","1","128","64","1","FMLP","168","4433.612155437935","177207","0.003164609195664525","0.013234884478151798","0.999824837839182"
"wandering-sweep-7","4614","5","8","4","256","1","FMLP","211","4585.147326860111","19707","0.0032388099934905767","0.013539706356823444","0.9998166763527304"
"FMLP","1271","","","","","","","10000","1253.0176785679068","11929","0.0032806755043566227","0.013720887713134289","0.9998117372478011"
"bumbling-sweep-2","3540","5","1","64","128","1","FMLP","170","3512.5106102298014","36977","0.003431697143241763","0.01434763055294752","0.9997941454584932"
"ancient-sweep-14","3152","8","4","64","256","1","FMLP","101","3125.5680486168712","750259","0.00513291684910655","0.02145794034004211","0.9995395569040912"
"rare-sweep-3","53491","5","1","64","256","1","FP","3312","53456.85600910592","9968","0.005472248420119286","0.022876501083374023","0.9994766657619067"
"lucky-sweep-3","2134","5","1","128","128","1","FMLP","101","2103.658059715759","125073","0.005648436490446329","0.023615628480911255","0.9994423020903194"
"major-sweep-7","14438","5","8","4","256","1","MLP","1786","14409.827838412952","13537","0.006385143380612135","0.026692818850278854","0.9992874934870896"
"lucky-sweep-2","39","5","1","64","256","1","FMLP","10","18.448643719078973","47281","0.00813001487404108","0.03398717939853668","0.9988448715162016"
"serene-sweep-3","568","5","1","128","1024","1","FMLP","294","546.9220193061046","268881","0.008485672995448112","0.035468388348817825","0.9987419935040712"
"fast-sweep-8","1716","5","8","64","256","1","MLP","178","1694.7420079950243","1445377","0.009132444858551024","0.038177795708179474","0.9985424559656816"
"fragrant-sweep-1","30","5","1","64","256","1","MLP","10","11.40798261598684","37313","0.00929360743612051","0.038851529359817505","0.9984905587521662"
"serene-sweep-3","2094","5","1","128","256","1","FMLP","101","2073.2529993641656","145617","0.009929463267326357","0.04150969535112381","0.9982769452163676"
"tough-sweep-3","32","5","1","64","256","1","FP","10","14.102203431073576","9968","0.010374977253377438","0.043372150510549545","0.9981188567264164"
"bumbling-sweep-6","323","5","4","128","512","1","FMLP","143","275.28159685991704","1983351","0.010801214724779127","0.04513520002365112","0.9979628141412116"
"zany-sweep-10","14442","8","1","4","64","1","MLP","1492","14410.610525964992","425","0.011261052452027798","0.04709545895457268","0.9977820176717762"
"eager-sweep-1","14440","5","1","4","128","1","MLP","1384","14415.168212105986","621","0.01140100322663784","0.04766661673784256","0.9977278934290076"
"MLP","14432","5","1","4","256","1","MLP","2015","14411.274139374029","1133","0.01146206632256508","0.047916676849126816","0.9977039921145217"
"efficient-sweep-5","331","5","4","64","512","1","FMLP","142","274.8710272219032","582647","0.011599009856581688","0.04846895858645439","0.9976507603484728"
"pretty-sweep-2","21625","5","1","4","256","1","FP","16393","21602.302043400006","458","0.011858449317514896","0.04957374185323715","0.9975424446305792"
"scarlet-sweep-1","14440","5","1","4","64","1","MLP","1991","14414.070924412925","365","0.01190436165779829","0.049785878509283066","0.9975213663780688"
"glorious-sweep-2","28838","5","1","4","256","1","FP","2329","28819.13715775599","458","0.012249726802110672","0.0512094609439373","0.9973775917976868"
"effortless-sweep-1","28862","5","1","4","256","1","FMLP","1548","28838.332628317003","1591","0.012354549951851368","0.05164766684174538","0.9973325188308378"
"tough-sweep-5","2092","5","4","64","64","1","FMLP","101","2070.374802303035","438391","0.012475415132939816","0.05217410996556282","0.997277861933744"
"decent-sweep-3","28833","5","1","4","256","1","MLP","4053","28813.88238752904","1133","0.012595903128385544","0.0526566356420517","0.9972272790206608"
"genial-sweep-19","14438","5","1","4","64","1","FP","1147","14418.971328758167","170","0.012885645031929016","0.05388975515961647","0.9970958941159832"
"tough-sweep-14","3202","8","4","64","128","1","FMLP","101","3176.657711410895","709043","0.013514373451471329","0.056502435356378555","0.996807474472521"
"young-sweep-9","2174","5","8","128","64","1","FMLP","101","2143.996921062004","6688907","0.014022757299244404","0.0586453340947628","0.99656072452393"
"elated-sweep-18","3311","8","8","128","128","1","FMLP","101","3258.021146911662","10732643","0.014171174727380276","0.05924846604466438","0.9964896191585886"
"charmed-sweep-19","14453","5","1","4","128","1","FP","1099","14425.836958648171","266","0.014468791894614697","0.060492776334285736","0.9963406232001976"
"effortless-sweep-3","22090","5","1","4","256","1","MLP","22208","21601.33629501902","1133","0.014643399976193903","0.06121610850095749","0.9962525882443264"
"golden-sweep-1","14468","5","1","4","64","1","FMLP","768","14436.175120967906","535","0.01467715948820114","0.061382144689559937","0.9962322319789196"
"dazzling-sweep-1","28824","5","1","4","1024","1","FMLP","15807","28802.906411850825","5815","0.015173709020018578","0.0634230226278305","0.9959775214740272"
"ethereal-sweep-1","21622","5","1","4","256","1","FMLP","12893","21602.387197552","1591","0.015210690908133984","0.06358764320611954","0.995956611920506"
"absurd-sweep-10","14475","8","1","4","64","1","FMLP","553","14441.342518310064","631","0.015226118266582487","0.06367797404527664","0.9959451153485256"
"expert-sweep-10","14437","8","1","4","128","1","MLP","1482","14417.97663557902","681","0.015251087956130505","0.06376349180936813","0.9959342175698208"
"smart-sweep-10","14481","8","1","4","128","1","FMLP","509","14451.40550741367","983","0.015375426970422268","0.0642833411693573","0.995867651848162"
"firm-sweep-8","2206","5","8","64","64","1","FMLP","101","2178.2340417322703","1706379","0.01563894934952259","0.0654044970870018","0.995722251107778"
"polar-sweep-6","2220","5","4","128","64","1","FMLP","101","2198.889588780701","1695735","0.01574026606976986","0.06582821905612946","0.9956666444743596"
"avid-sweep-19","14451","5","1","4","256","1","FP","1021","14425.719377072062","458","0.015835687518119812","0.06620041280984879","0.995617505416885"
"copper-sweep-5","2295","5","4","64","256","1","FMLP","101","2267.176198601024","500215","0.015854429453611374","0.06627876311540604","0.9956071256927056"
"spring-sweep-1","14464","5","1","4","128","1","FMLP","699","14436.840569918044","887","0.01712173782289028","0.07158451527357101","0.9948756568260776"
"crisp-sweep-15","3272","8","4","128","128","1","FMLP","101","3245.5714641311206","2728371","0.01841635070741177","0.07699718326330185","0.9940714332988804"
"dandy-sweep-14","3016","8","4","64","64","1","FMLP","101","2985.883294811006","688435","0.018590658903121948","0.07774900645017624","0.9939550920953772"
"dry-sweep-5","244","5","4","64","1024","1","FMLP","111","218.130679636728","747511","0.018891701474785805","0.07896347343921661","0.9937647711949956"
"copper-sweep-1","86421","5","1","64","256","1","MLP","83866","86401.64952855604","37313","0.020934628322720528","0.08751632273197174","0.992340893855862"
"cerulean-sweep-17","3260","8","8","64","256","1","FMLP","101","3234.6506231781095","2827875","0.023604780435562137","0.09867877513170242","0.990262501076661"
"iconic-sweep-18","3145","8","8","128","64","1","FMLP","101","3118.2560374159366","10650467","0.024959200993180275","0.1043832302093506","0.9891041408951852"
"warm-sweep-18","3318","8","8","128","256","1","FMLP","101","3254.278084100224","10896995","0.02510250359773636","0.10493994504213332","0.9889876097964184"
"efficient-sweep-6","232","5","4","128","1024","1","FMLP","107","208.2612659400329","2312055","0.03273504599928856","0.13682584464550018","0.9812786942056808"
"morning-sweep-17","3272","8","8","64","128","1","FMLP","101","3246.0850488590077","2745443","0.03811615705490112","0.1593603789806366","0.9746042700914944"
"zany-sweep-17","3126","8","8","64","64","1","FMLP","104","3093.183163003996","2704227","0.04686877503991127","0.1960124522447586","0.9615791136141678"
"dry-sweep-15","3183","8","4","128","64","1","FMLP","105","3153.9860128038563","2687283","0.07244531810283661","0.3029775023460388","0.9082046327349896"
"decent-sweep-9","2359","5","8","128","128","1","FMLP","","","","","",""
"revived-sweep-10","16","5","4","4","512","1","FPMLP","","","","","",""
"autumn-sweep-12","2897","8","1","128","128","1","FMLP","","","","","",""
"colorful-sweep-2","86420","5","1","64","256","1","FMLP","","","","","",""
"zany-sweep-4","28816","5","4","4","1024","1","FMLP","","","","","",""
"super-sweep-9","22","5","1","128","512","1","FPMLP","","","","","",""
"dry-sweep-6","2327","5","4","128","128","1","FMLP","","","","","",""
"generous-sweep-8","15","5","1","64","512","1","FPMLP","","","","","",""
"fresh-sweep-11","21","5","4","64","512","1","FPMLP","","","","","",""
"good-sweep-8","2318","5","8","64","128","1","FMLP","","","","","",""
"brisk-sweep-3","86418","5","1","64","256","1","FP","","","","","",""
"cool-sweep-7","17","5","1","4","512","1","FPMLP","","","","","",""
"expert-sweep-3","39834","5","1","64","256","1","FP","","","","","",""